index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude,original_components,enriched_components,component_gain,original_length,enriched_length,length_gain
268,"2 Hector Ct, Sydney, 2155","2 Hector Ct, Sydney NSW 2155",Hector Court Kellyville New South Wales 2155,Hector Court,Kellyville,New South Wales,2155.0,,Chargefox,-33.71912317,150.9544184,5,7,2,25,44,19
273,"2 Lachlan Valley Way, Cowra, 2794","2 Lachlan Valley Way, Cowra NSW 2794",Lachlan Valley Way Taragala New South Wales 2794,Lachlan Valley Way,Taragala,New South Wales,2794.0,,Tesla,-33.83547852,148.6817277,6,8,2,33,48,15
307,"2032 Camden Valley Way, Sydney, 2174","2032 Camden Valley Way, Sydney NSW 2174",Kibby Road Edmondson Park New South Wales 2174,Kibby Road,Edmondson Park,New South Wales,2174.0,,Exploren,-33.95508313,150.8622653,6,8,2,36,46,10
340,"227 Railway Terrace, Schofields NSW 2762","227 Railway Terrace, Schofields NSW 2762",227 Railway Terrace Schofields New South Wales 2762,227 Railway Terrace,Schofields,New South Wales,2762.0,,Evie,-33.705677,150.876075,6,8,2,40,51,11
325,"2197 Giinagay Way, Nambucca Heads, 2448","2197 Giinagay Way, Nambucca Heads NSW 2448",Marshall Way Nambucca Heads New South Wales 2448,Marshall Way,Nambucca Heads,New South Wales,2448.0,,Tesla,-30.65431636,152.986997,6,8,2,39,48,9
933,"Prince of Wales Dr, Sydney, 2073","Prince Of Wales Drive, Sydney NSW 2073",Alexander Walkway West Pymble New South Wales 2073,Alexander Walkway,West Pymble,New South Wales,2073.0,,Exploren,-33.76357562,151.1336246,6,8,2,32,50,18
942,"Riverside Dr, Jugiong, 2726","Riverside Drive, Jugiong NSW 2726",Riverside Drive New South Wales 2726,Riverside Drive,,New South Wales,2726.0,,NRMA,-34.82342947,148.3257027,4,6,2,27,36,9
419,"3 Columbia Way, Sydney, 2153","3 Columbia Way, Sydney NSW 2153",Windsor Road Norwest New South Wales 2153,Windsor Road,Norwest,New South Wales,2153.0,,Exploren,-33.73052857,150.9717377,5,7,2,28,41,13
1788,"Jessie St, Armidale NSW 2350, Australia","Jessie Street, Armidale NSW 2350",118a Jessie Street Armidale New South Wales 2350,118a Jessie Street,Armidale,New South Wales,2350.0,,Tesla,-30.5132305,151.6633637,6,8,2,39,48,9
1789,"Leisure Dr
Banora Point NSW 2486
Australia","Leisure Drive, Banora Point NSW 2486",126 Leisure Drive Tweed Heads New South Wales 2486,126 Leisure Drive,Tweed Heads,New South Wales,2486.0,Twin Towns Services Club Limited,Chargefox,-28.212505,153.5305931,7,9,2,42,50,8
